name,freereturns,itemssold,status,price,shipping
Doritos Roulette Nacho Cheese Chips 9 oz Bag Some May Be Hot! IN HAND ,False,,Brand New,1099,0
*NEW* Doritos Twisted Lime Tortilla Chips Extra Large Bag (1lb 2oz) EXP OCT 21,False,0,Brand New,999,999
"SABRITAS, BARCEL MEXICANA (GRANDES) MAKE YOUR OWN BOX ",False,69,Brand New,258,399
Doritos Tangy Ranch Tortilla Chips 9.25 oz,False,0,Brand New,1120,1465
NEW SEALED limited time flavor Lays Doritos cool ranch 2 5/8 oz bag,False,,Brand New,350,550
DORITOS SALTY SHRIMP 55g,False,,Brand New,1000,0
rare and exotic Doritos top-secret,False,,Brand New,2599,0
Doritos Stax Flaming Chicken Wings Imported from UK Shipping From USA,True,,Brand New,1299,
"2x DORITOS Tortilla Chips, ZESTY CHEESE 255g FRESH CANADIAN",False,0,Brand New,1799,0
NEW Doritos Dinamita Chile Limon Flavored Chips 10.75 Oz Bag FREE WORLD SHIPPING,False,,Brand New,1199,
2-pack Doritos Nacho Cheese Tortilla Chips (18.875 oz.)-Hot Sale,True,,Brand New,1380,0
NEW Doritos Spicy Sweet Chili Flavored Nacho Corn Chip Snacks 9.75 oz FREE SHIP,False,,Brand New,1199,
Error Doritos Party Size Bag Miscut Spicy Nacho RARE Fresh Still Sealed 1-25-22,False,,Brand New,9999,0
6-Pk Doritos Incognito Mex Incognito Doritos With Spices & Chili 61gr/2.15oz,False,,Brand New,1800,0
"Doritos 3D Crunch Chili Cheese Nacho Flavored Corn Snacks, 6 oz",False,,Brand New,669,0
"Doritos Roulette Nacho Cheese Flavored Tortilla Chips, 9 oz Bag: DATE NOV 2021",False,,Brand New,1091,0
Doritos Spicy Nacho 2.75oz 3pack,False,,Brand New,1419,0
Rare Doritos Tangy Ranch Chips 9.25 oz Bag,False,,Brand New,1999,0
DORITOS ROASTED CORN Indonesia Net Weight - 55g Exotic Snack Asia,False,,Brand New,1000,0
Overly Seasoned Cool Ranch Dorito Chip,False,,Brand New,50000,336
LOT of 2 Doritos Tapatio Salsa Picante Hot Sauce Chips Large Bags,False,,Brand New,1699,699
6-Pk Doritos Xtra Flamin Hot 🇲🇽 Doritos X-Hot Chips 62gr/2.19oz ea.,False,,Brand New,1800,0
NEW Doritos Flamin' Hot Limon Nacho Corn Chip Snacks 9.75 oz FREE WORLD SHIPPING,False,,Brand New,1199,
Double Dorito,False,,Brand New,60000,2795
Doritos Flamin' Hot Nacho Flavor Tortilla Chips 9.25 oz (1 Bag) ,False,,Brand New,1139,0
Doritos 3D Crunch Limited Edition (6 Bags) 3 Spicy Ranch 3 Chili Cheese Nachos ,False,,Brand New,1499,0
"Doritos Nacho Cheese (1 oz., 50 pk.)",False,50,Brand New,2199,0
"MEXICAN SABRITAS, BARCEL, MAKE YOUR OWN BOX AT LEAST 4 ITEM EXP DATE. NOV-JAN",True,134,Brand New,295,0
"Doritos Mexican chips Variety , 50 Gr /58 Gr/each . FRESH 2021",False,,Brand New,1495,0
"MEXICAN SABRITAS MAKE YOUR OWN BOX Minimum 4 BAGS, NO LESS, ALWAYS FRESH",True,53,Brand New,299,0
