name,freereturns,itemssold,status,price,shipping
Apple iPhone 7 - 128GB (PRODUCT)RED (Unlocked) AT&T TMobile Verizon Sprint A1660,False,0,Brand New,27999,0
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Sprint) A2275 (CDMA + GSM),False,,Brand New,5100,999
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) n65,False,,Parts Only,32000,0
Apple iPhone 11 - 64GB -  Unlocked (PRODUCT)RED A2111 Clean ESN Smartphone ,False,0,Pre-Owned,41995,0
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701Au20,True,,Pre-Owned,20550,0
Apple iPhone SE (2nd Gen) - 64GB Verizon (PRODUCT) RED,True,,Pre-Owned,2250,799
Apple iPhone XR (PRODUCT)RED - 128GB 12.4 Jailbroken,False,0,Pre-Owned,53500,0
New ListingApple iPhone 11 (PRODUCT)RED - 128GB (Unlocked). ,False,,Pre-Owned,25000,400
"Apple iPhone XR 256GB|128GB|64GB| GSM/ CDMA Factroy Unlocked- ""Excellent""",True,0,Excellent - Refurbished,33988,
Apple iPhone XR (PRODUCT) RED 64GB Sprint A1984 - LCD Damage - Read Description,True,,Parts Only,17499,
Apple iPhone 12 (PRODUCT)RED - 64GB Cricket Wireless,False,,Brand New,58900,520
New ListingApple iPhone 13 (PRODUCT)RED - 128GB - (Verizon),False,,Brand New,95000,550
New ListingApple iPhone 11 (PRODUCT)RED - 128GB (Sprint) A2111 (CDMA + GSM),False,,Pre-Owned,50000,0
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB - (T-Mobile) - A2275 - WORKS GREAT,True,,Pre-Owned,32499,
Genuine Apple Watch Sport Band (Product)  Red  42mm / 44mm MLDJ2ZM/A,True,,Brand New,3995,
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,16650,600
New ListingApple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,35000,0
Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) Perfect Screen!,False,,Pre-Owned,37500,0
Apple Original Authentic OEM Silicone Case MagSafe iPhone 12 Mini Product RED,False,29,Brand New,2160,0
Apple iPhone XR - 64GB - (PRODUCT)RED - GSM Unlocked - Smartphone ,True,,Pre-Owned,30499,0
,False,,,,
Apple iPhone 8 - 64GB - PRODUCT RED A1905 GSM UNLOCKED ~MRF~ VERY GOOD!,True,208,Pre-Owned,17299,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile)  A Excellent,True,0,Excellent - Refurbished,40999,
Apple iPhone 8 Plus (PRODUCT)RED - FOR PARTS,False,,Parts Only,8700,550
Apple iPhone XR 64GB Product Red EMPTY BOX ONLY A1984 MT492LL/A,False,,Pre-Owned,830,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) Perfect Screen!,False,,Pre-Owned,37500,0
Apple iPhone 13 mini (PRODUCT)RED - 128GB - (Unlocked),False,,Brand New,95000,
Apple iPhone XS Max - 64GB - RARE (Product red),False,,Pre-Owned,22500,0
Apple iPod touch (32GB) - PRODUCT(RED) -NOT WORKING-,True,,Parts Only,325,1101
